SECTION	Unnamed: 0	Unnamed: 1	PRESIDENTIAL PRIORITIES 13%	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	MDA OPERATIONAL PRIORITIES 25%	Unnamed: 2	SERVICE-WIDE PRIORITIES 37%
MDA OPERATIONAL		ICT Governance, Digital Transformation, & Information Security		"Strengthen ICT governance and policy alignment in line with national frameworks
(NDES, NITDA Guidelines, NDPR, Civil Service Reform & e-Government Agenda)"	1	0.3	Level of compliance with NITDA and NDPR requirements	1	ICT 		6	5	
MDA OPERATIONAL						0.3	Percentage completion of ICT asset verification and inventory update	1					
MDA OPERATIONAL						0.4	Percentage of ICT and data protection policies reviewed, updated, and approved	0.8					
MDA OPERATIONAL				"Upgrade and maintain reliable ICT infrastructure to support operations
(Networks, equipment, servers, power, backups)"	1	0.5	System and network uptime percentage	0.9					
MDA OPERATIONAL						0.5	Percentage of planned ICT infrastructure upgrades completed	0.75					
MDA OPERATIONAL				Enhance ICT service delivery and user support through an effective helpdesk	1	0.5	Percentage of ICT service requests resolved within agreed SLA	0.9					
MDA OPERATIONAL						0.5	User satisfaction rate with ICT support services	0.8					
MDA OPERATIONAL				Strengthen cybersecurity and data protection compliance	1	0.5	Percentage of cybersecurity audits and vulnerability assessments conducted	0.9					
MDA OPERATIONAL						0.5	Percentage compliance with NDPR requirements	1					
MDA OPERATIONAL				Monitor, evaluate, and sustain ICT performance	1	0.5	Timely production of annual ICT performance report	1					
MDA OPERATIONAL						0.5	Percentage of ICT deliverables achieved against annual workplan	0.8					
MDA OPERATIONAL		MDA-wide Staff Development, Training, and Capacity Enhancement		Identify capacity gaps and establish training priorities across SERVICOM and MDAs	1	0.7	Percentage of MDAs/staff covered by the Training Needs Assessment (TNA)	0.8	SETVICOM INSTITUTE		7	5	
MDA OPERATIONAL						0.3	Timely completion of Annual Training Needs Assessment Report	1					
MDA OPERATIONAL				Strengthen foundational competencies and ensure compliance with public service standards	1	0.5	Percentage of newly recruited or transferred MDA staff inducted	1					
MDA OPERATIONAL						0.5	Percentage of eligible officers completing supervisory/leadership training	0.8					
MDA OPERATIONAL				Build specialized, technical, and performance-driven competencies	0.5	0.5	Number of specialized and technical training programmes conducted across MDAs	10					
MDA OPERATIONAL					0.5	0.5	Percentage of targeted MDA staff completing specialized/professional training	0.8					
MDA OPERATIONAL				Institutionalize learning, knowledge sharing, and best practice dissemination	1	0.5	Number of training manuals and learning materials developed or updated	5					
MDA OPERATIONAL						0.5	Number of knowledge-sharing workshops conducted across MDAs	10					
MDA OPERATIONAL				Evaluate training impact and measure improvement in service delivery	1	0.8	Percentage of training programmes evaluated post-delivery	0.8					
MDA OPERATIONAL						0.2	Percentage improvement in staff performance indicators after training	0.2					
MDA OPERATIONAL		Executive Administration, Secretariat and Strategic Support		Provide effective administrative and secretarial support to the National Coordinator	1	0.5	Percentage of correspondence (incoming and outgoing) processed within approved timelines	1	OPERATIONS		8	3	
MDA OPERATIONAL						0.5	Percentage of meetings supported with complete documentation (agenda, minutes, briefs)	1					
MDA OPERATIONAL				Ensure efficient coordination and scheduling of the National Coordinatorâ€™s official activities	0.7	0.35	Percentage of official engagements properly scheduled and documented	1					
MDA OPERATIONAL						0.35	Percentage of meetings/events attended as scheduled	1					
MDA OPERATIONAL				Strengthen records management and document control for executive decisions	0.3	0.2	Percentage of executive files properly registered, tracked, and archived	1					
MDA OPERATIONAL						0.1	Percentage of documents retrievable within agreed time standards	1	OPERATIONS				
MDA OPERATIONAL				Support effective internal coordination between the National Coordinator and SERVICOM units	0.5	0.5	Percentage of directives from the National Coordinator communicated to relevant units within timelines	1					
MDA OPERATIONAL				Provide clerical and logistical support for high-level meetings, engagements, and events	0.5	0.5	Percentage of high-level meetings/events supported without logistical lapses	1					
SERVICE WIDE	1			Strengthen a culture of innovation and technology adoption within SERVICOM by identifying, piloting, and implementing service-improvement initiatives, while actively promoting staff participation in the OHCSF Innovation Challenge.	5	2	Number of Innovation, Initiative, and Technology Ideas Generated	5	ICT, 70%	Other Units - 30%		5	Service Innovation And Improvement
SERVICE WIDE						2	Percentage of Identified Innovations and Initiatives Implemented or Piloted	0.1					
SERVICE WIDE						1	Number of SERVICOM Staff Participating in the OHCSF Innovation Challenge	2					
SERVICE WIDE	2			Strengthen internal stakeholder engagement within SERVICOM by improving communication, collaboration, and coordination among units to enhance teamwork and organizational effectiveness.	5	3	Number of structured inter-unit meetings, workshops, or knowledge-sharing sessions held during the year.	5	"Operations Unit - 40%
"	"Administration Unit - 25%
Public Awareness Unit- 25%
ICT - 10%"		5	Stakeholder Engagement (MDA)
SERVICE WIDE						2	Number of Cross-Unit Collaboration Initiatives Implemented	5	"Operations Unit - 40%
"	"Administration Unit - 30%
Public Awareness Unit- 30%"			
SERVICE WIDE	3			Identify, prioritize, and automate key service delivery processes, forms, and routine tasks, while standardizing the use of official email communication to improve efficiency, accuracy, transparency, and accountability across SERVICOM.	5	1	Number of Processes, Forms, and Tasks Identified for Automation	5	"ICT- 40%
Other  Units - 60%"			5	Automated Service Delivery
SERVICE WIDE						2	Percentage of Identified Processes and Forms Automated or Digitized	0.2	"ICT- 40%
Other  Units - 60%"				
SERVICE WIDE						2	Percentage of Staff Actively Using Official Email for Work-Related Communication	0.8	"ICT- 40%
Other  Units - 60%"				
SERVICE WIDE	4			Enhance the skills, competencies, and knowledge of SERVICOM staff through training, induction, and orientation, ensuring excellent service delivery, adoption of best practices, and seamless integration of new, transferred, and promoted staff within their respective units.	5	3	Percentage of all staff trained on service delivery standards, best practices, and functional skills	0.8	"Administration- 80%
"	OTHER UNITS - 20%		5	Capacity Building
SERVICE WIDE						2	Percentage of new, transferred, and promoted staff successfully inducted/oriented within 30 days of joining, transfer, or promotion	0.8	"Administration- 80%
"	OTHER UNITS - 20%			
SERVICE WIDE	5			Ensure the efficient and effective implementation of services and programmes within SERVICOM and streamline payment processes to guarantee that payments and staff claims are processed and disbursed within required timelines, thereby optimizing financial efficiency and reducing delays	4	2	Percentage of services and programmes implemented within approved timelines	1	FINANCE AND ACCOUNT	INTERNAL AUDIT		7	Support For Service Delivery
SERVICE WIDE						2	Percentage of payments and staff claims processed within the required timeline	1	FINANCE AND ACCOUNT	INTERNAL AUDIT			
SERVICE WIDE				Strengthen regulatory compliance within the SERVICOM by implementing robust financial control measures to prevent and eliminate cases of fraud, irregularities, and non-adherence to financial regulations and government policies.	3	3	Percentage compliance with financial regulations and government policies	1	ALL UNITS				
SERVICE WIDE	6			Promote staff welfare, motivation, and recognition	6	2	Percentage of staff benefiting from welfare packages	0.8	Administration - 100%			10	Staff Welfare
SERVICE WIDE						1	Timely delivery of welfare items and cash tokens	0.8	Administration - 100%				
SERVICE WIDE						1	Number of recognition and award programmes conducted	5	Administration - 100%				
SERVICE WIDE						2	Staff satisfaction level with welfare and recognition initiatives	0.7	Administration - 80%	"
Other Units  - 20%
"			
SERVICE WIDE				Promote work-life balance, wellness, and staff health	4	2	Staff participation rate in wellness programmes	0.5	Administration - 80%	"
Other Units  - 20%
"			
SERVICE WIDE						2	Number of wellness and fitness sessions conducted	5	Administration - 100%				
PROCUREMENT		Procurement and Contract Management		Ensure transparent, efficient, and compliant procurement processes that support timely acquisition of goods, works, and services to enhance effective service delivery in SERVICOM.	3	0.375	Percentage of annual procurement plan developed and approved within first quarter	1	PROCUREMENT		1	3	
PROCUREMENT						0.375	Percentage of procurement processes compliant with procurement regulations	1					
PROCUREMENT						0.375	Percentage of procurement requests processed within approved timelines	0.9					
PROCUREMENT						0.375	Percentage of procurement processes conducted using approved procurement methods	0.9					
PROCUREMENT						0.375	Percentage of procurement records properly documented and retrievable	0.8					
PROCUREMENT						0.375	Percentage of contracts executed in accordance with agreed terms and timelines	1					
PROCUREMENT						0.375	Percentage of procurement requests supported with appropriate procurement guidance	1					
PROCUREMENT						0.375	Percentage of procurement activities conducted without audit queries or compliance issues	1					
LEGAL		Legal Advisory and Compliance Services		Provide legal advisory services and ensure compliance with applicable laws and regulations to safeguard SERVICOMâ€™s operations and interests.	2	0.25	Percentage of requests for legal advice responded to within specified timelines	1	LEGAL		1	2	
LEGAL						0.25	Percentage of contracts and agreements reviewed before execution	1					
LEGAL						0.25	Percentage of SERVICOM activities compliant with applicable legal and regulatory requirements	0.9					
LEGAL						0.25	Percentage of legal documents prepared accurately and within required timelines	0.9					
LEGAL						0.25	Percentage of legal records properly maintained and easily retrievable	0.8					
LEGAL						0.25	Percentage of procurement and administrative processes reviewed for legal compliance	1					
LEGAL						0.25	Percentage of identified legal risks addressed with appropriate legal advice	1					
  						0.25	Percentage of legal issues handled in accordance with legal procedures and timelines	1					
